member_id,first_name,last_name,full_name,division,house,party,from_date,from_why,to_date,to_why,gender
100020,Nick,Bolkus,Nick Bolkus,SA,senate,Australian Labor Party,1981-07-01,general_election,2005-06-30,retired,male
100021,Neville,Bonner,Neville Bonner,Queensland,senate,Independent,1971-06-11,unknown,1983-02-04,unknown,male
100022,Ron,Boswell,Ron Boswell,Queensland,senate,National Party,1983-03-05,general_election,2014-06-30,unknown,male
100023,Vicki,Bourne,Vicki Bourne,NSW,senate,Australian Democrats,1990-07-01,general_election,2002-06-30,unknown,female
100024,Sue,Boyce,Sue Boyce,Queensland,senate,Liberal Party,2007-04-19,unknown,2014-06-30,retired,female
100025,George,Brandis,George Brandis,Queensland,senate,Liberal Party,2000-05-16,unknown,2018-02-07,resigned,male
100026,Carol,Brown,Carol Brown,Tasmania,senate,Australian Labor Party,2005-08-25,unknown,9999-12-31,still_in_office,female
100027,Bob,Brown,Bob Brown,Tasmania,senate,Australian Greens,1996-07-01,general_election,2012-06-15,resigned,male
100028,David,Brownhill,David Brownhill,NSW,senate,National Party,1984-12-01,general_election,2000-04-14,resigned,male
100029,Geoffrey,Buckland,Geoffrey Buckland,SA,senate,Australian Labor Party,2000-09-14,unknown,2005-06-30,retired,male
100030,Bryant,Burns,Bryant Burns,Queensland,senate,Australian Labor Party,1987-07-11,general_election,1996-06-30,retired,male
100031,David,Bushby,David Bushby,Tasmania,senate,Liberal Party,2007-08-30,unknown,9999-12-31,still_in_office,male
100032,John,Button,John Button,Victoria,senate,Australian Labor Party,1974-05-18,general_election,1993-03-31,resigned,male
100033,Paul,Calvert,Paul Calvert,Tasmania,senate,Liberal Party,1987-07-11,general_election,2002-08-19,changed_party,male
100275,Paul,Calvert,Paul Calvert,Tasmania,senate,PRES,2002-08-19,changed_party,2007-08-14,changed_party,male
100276,Paul,Calvert,Paul Calvert,Tasmania,senate,Liberal Party,2007-08-15,changed_party,2007-08-29,resigned,male
100034,George,Campbell,George Campbell,NSW,senate,Australian Labor Party,1997-09-17,unknown,2008-06-30,retired,male
100035,Ian,Campbell,Ian Campbell,WA,senate,Liberal Party,1990-05-16,unknown,2007-05-31,resigned,male
100036,Kim,Carr,Kim Carr,Victoria,senate,Australian Labor Party,1993-04-28,unknown,9999-12-31,still_in_office,male
100037,John,Carrick,John Carrick,NSW,senate,Liberal Party,1971-07-01,general_election,1987-06-05,retired,male
100038,James,Cavanagh,James Cavanagh,SA,senate,Australian Labor Party,1962-07-01,general_election,1981-06-30,retired,male
100039,Christabel,Chamarette,Christabel Chamarette,WA,senate,Australian Greens,1992-03-12,unknown,1996-06-30,unknown,female
100040,Frederick,Chaney,Frederick Chaney,WA,senate,Liberal Party,1974-05-18,general_election,1990-02-27,resigned,male
100041,Grant,Chapman,Grant Chapman,SA,senate,Liberal Party,1987-07-11,general_election,2008-06-30,unknown,male
100042,John,Cherry,John Cherry,Queensland,senate,Australian Democrats,2001-07-31,unknown,2005-06-30,unknown,male
100043,Bruce,Childs,Bruce Childs,NSW,senate,Australian Labor Party,1981-07-01,general_election,1997-09-10,resigned,male
100044,Donald,Chipp,Donald Chipp,Victoria,senate,Australian Democrats,1978-07-01,general_election,1986-08-18,resigned,male
100045,John,Coates,John Coates,Tasmania,senate,Australian Labor Party,1981-07-01,general_election,1996-08-20,resigned,male
100046,Samuel,Cohen,Samuel Cohen,Victoria,senate,Australian Labor Party,1962-07-01,general_election,1969-10-07,died,male
100047,Richard,Colbeck,Richard Colbeck,Tasmania,senate,Liberal Party,2002-02-04,unknown,2016-05-09,unknown,male
100880,Richard,Colbeck,Richard Colbeck,Tasmania,senate,Liberal Party,2018-02-09,unknown,9999-12-31,still_in_office,male
100048,Ruth,Coleman,Ruth Coleman,WA,senate,Australian Labor Party,1974-05-18,general_election,1987-06-05,retired,female
100049,Stanley,Collard,Stanley Collard,Queensland,senate,National Party,1975-12-13,general_election,1987-06-05,retired,male
100050,Jacinta,Collins,Jacinta Collins,Victoria,senate,Australian Labor Party,1995-05-03,unknown,2005-06-30,unknown,female
100265,Jacinta,Collins,Jacinta Collins,Victoria,senate,Australian Labor Party,2008-05-08,general_election,9999-12-31,still_in_office,female
100051,Robert,Collins,Robert Collins,NT,senate,Australian Labor Party,1987-07-11,general_election,1998-03-30,resigned,male
100052,Malcolm,Colston,Malcolm Colston,Queensland,senate,Independent,1975-12-13,general_election,1999-06-30,retired,male
100053,Stephen,Conroy,Stephen Conroy,Victoria,senate,Australian Labor Party,1996-04-30,unknown,2016-09-30,resigned,male
100054,Peter,Cook,Peter Cook,WA,senate,Australian Labor Party,1983-03-05,general_election,2005-06-30,retired,male
100055,Helen,Coonan,Helen Coonan,NSW,senate,Liberal Party,1996-07-01,general_election,2011-08-22,resigned,female
100056,Bernard,Cooney,Bernard Cooney,Victoria,senate,Australian Labor Party,1984-12-01,general_election,2002-06-30,retired,male
100057,Mathias,Cormann,Mathias Cormann,WA,senate,Liberal Party,2007-06-19,unknown,9999-12-31,still_in_office,male
100058,John,Coulter,John Coulter,SA,senate,Australian Democrats,1987-07-11,general_election,1995-11-20,resigned,male
100059,Arthur,Crane,Arthur Crane,WA,senate,Liberal Party,1990-07-01,general_election,2002-06-30,unknown,male
100060,Noel,Crichton-Browne,Noel Crichton-Browne,WA,senate,Independent Liberal,1981-07-01,general_election,1996-06-30,retired,male
100061,Trish,Crossin,Trish Crossin,NT,senate,Australian Labor Party,1998-06-16,unknown,2013-09-06,retired,female
100062,Rosemary,Crowley,Rosemary Crowley,SA,senate,Australian Labor Party,1983-03-05,general_election,2002-06-30,retired,female
100063,Gordon,Davidson,Gordon Davidson,SA,senate,Liberal Party,1962-02-08,general_election,1962-06-30,unknown,male
100064,Gordon,Davidson,Gordon Davidson,SA,senate,Liberal Party,1965-07-01,general_election,1981-06-30,retired,male
100065,Gordon,Davidson,Gordon Davidson,SA,senate,Liberal Party,1961-09-28,unknown,1961-12-08,unknown,male
100066,Kay,Denman,Kay Denman,Tasmania,senate,Australian Labor Party,1993-08-24,unknown,2005-06-30,retired,male
100067,John,Devereux,John Devereux,Tasmania,senate,Independent,1987-07-11,general_election,1996-02-07,resigned,male
100068,Arthur,Devlin,Arthur Devlin,Tasmania,senate,Australian Labor Party,1984-12-01,general_election,1990-06-30,retired,male
100069,Patricia,Dunn,Patricia Dunn,NSW,senate,Independent,1988-07-21,general_election,1990-06-30,unknown,female
100070,Peter,Durack,Peter Durack,WA,senate,Liberal Party,1971-07-01,general_election,1993-06-30,retired,male
100071,Alan,Eggleston,Alan Eggleston,WA,senate,Liberal Party,1996-07-01,general_election,2014-06-30,retired,male
100072,Chris,Ellison,Chris Ellison,WA,senate,Liberal Party,1993-07-01,general_election,2009-01-30,resigned,male
100073,Ronald,Elstob,Ronald Elstob,SA,senate,Australian Labor Party,1978-07-01,general_election,1987-06-05,retired,male
100074,Chris,Evans,Chris Evans,WA,senate,Australian Labor Party,1993-07-01,general_election,2013-04-12,resigned,male
100075,Gareth,Evans,Gareth Evans,Victoria,senate,Australian Labor Party,1978-07-01,general_election,1996-02-06,resigned,male
100076,John,Evans,John Evans,WA,senate,Australian Democrats,1983-03-05,general_election,1985-06-30,unknown,male
100077,John,Faulkner,John Faulkner,NSW,senate,Australian Labor Party,1989-04-04,unknown,2015-02-06,resigned,male
100287,David,Fawcett,David Fawcett,SA,senate,Liberal Party,2011-07-01,general_election,9999-12-31,still_in_office,male
100078,Alan,Ferguson,Alan Ferguson,SA,senate,Liberal Party,1992-05-26,unknown,2007-08-14,changed_party,male
100263,Alan,Ferguson,Alan Ferguson,SA,senate,PRES,2007-08-15,changed_party,2008-08-25,changed_party,male
100278,Alan,Ferguson,Alan Ferguson,SA,senate,DPRES,2008-08-26,changed_party,2011-06-30,retired,male
100079,Jeannie,Ferris,Jeannie Ferris,SA,senate,Liberal Party,1996-07-01,general_election,1996-07-12,unknown,female
100080,Jeannie,Ferris,Jeannie Ferris,SA,senate,Liberal Party,1996-07-24,unknown,2007-04-02,died,female
100081,Steve,Fielding,Steve Fielding,Victoria,senate,Family First Party,2005-07-01,general_election,2011-06-30,unknown,male
100082,Concetta,Fierravanti-Wells,Concetta Fierravanti-Wells,NSW,senate,Liberal Party,2005-05-05,unknown,9999-12-31,still_in_office,female
100083,Mitch,Fifield,Mitch Fifield,Victoria,senate,Liberal Party,2004-03-31,unknown,9999-12-31,still_in_office,male
100084,Mary,Fisher,Mary Fisher,SA,senate,Liberal Party,2007-06-06,unknown,2012-08-14,resigned,female
100085,Dominic,Foreman,Dominic Foreman,SA,senate,Australian Labor Party,1981-07-01,general_election,1997-09-15,resigned,male
100086,Michael,Forshaw,Michael Forshaw,NSW,senate,Australian Labor Party,1994-05-10,unknown,2011-06-30,retired,male
100087,George,Georges,George Georges,Queensland,senate,Independent,1968-07-01,general_election,1987-06-05,unknown,male
100088,Brenda,Gibbs,Brenda Gibbs,Queensland,senate,Australian Labor Party,1996-07-01,general_election,2002-06-30,unknown,female
100089,Brian,Gibson,Brian Gibson,Tasmania,senate,Liberal Party,1993-07-01,general_election,2002-02-22,resigned,male
100090,Arthur,Gietzelt,Arthur Gietzelt,NSW,senate,Australian Labor Party,1971-07-01,general_election,1989-02-27,resigned,male
100091,Patricia,Giles,Patricia Giles,WA,senate,Australian Labor Party,1981-07-01,general_election,1993-06-30,retired,female
100092,Brian,Greig,Brian Greig,WA,senate,Australian Democrats,1999-07-01,general_election,2005-06-30,unknown,male
100093,Donald,Grimes,Donald Grimes,Tasmania,senate,Australian Labor Party,1974-05-18,general_election,1987-04-02,resigned,male
100094,Margaret,Guilfoyle,Margaret Guilfoyle,Victoria,senate,Liberal Party,1971-07-01,general_election,1987-06-05,retired,female
100095,Janine,Haines,Janine Haines,SA,senate,Australian Democrats,1981-07-01,general_election,1990-03-01,resigned,female
100096,Janine,Haines,Janine Haines,SA,senate,Australian Democrats,1977-12-14,unknown,1978-06-30,unknown,female
100097,David,Hamer,David Hamer,Victoria,senate,Liberal Party,1978-07-01,general_election,1990-06-30,retired,male
100857,Pauline,Hanson,Pauline Hanson,Queensland,senate,Pauline Hanson's One Nation Party,2016-07-01,general_election,9999-12-31,still_in_office,female
100098,Brian,Harradine,Brian Harradine,Tasmania,senate,Independent,1975-12-13,general_election,2005-06-30,retired,male
100099,Leonard,Harris,Leonard Harris,Queensland,senate,Pauline Hanson's One Nation Party,1999-07-02,general_election,2005-06-30,unknown,male
100100,Jean,Hearn,Jean Hearn,Tasmania,senate,Australian Labor Party,1980-10-15,unknown,1985-06-30,retired,male
100101,Bill,Heffernan,Bill Heffernan,NSW,senate,Liberal Party,1996-09-18,unknown,2016-05-09,retired,male
100102,Albion,Hendrickson,Albion Hendrickson,Victoria,senate,Australian Labor Party,1947-07-01,general_election,1971-06-30,retired,male
100103,John,Herron,John Herron,Queensland,senate,Liberal Party,1990-07-01,general_election,2002-09-05,resigned,male
100104,Heather,Hill,Heather Hill,Queensland,senate,Pauline Hanson's One Nation Party,1998-11-18,general_election,1999-09-23,disqualified,female
100105,Robert,Hill,Robert Hill,SA,senate,Liberal Party,1981-07-01,general_election,2006-03-15,resigned,male
100106,John,Hogg,John Hogg,Queensland,senate,Australian Labor Party,1996-07-01,general_election,2002-08-19,changed_party,male
100264,John,Hogg,John Hogg,Queensland,senate,DPRES,2002-08-19,changed_party,2008-08-25,changed_party,male
100277,John,Hogg,John Hogg,Queensland,senate,PRES,2008-08-26,changed_party,2014-06-30,retired,male
100107,Gary,Humphries,Gary Humphries,ACT,senate,Liberal Party,2003-02-18,unknown,2013-09-06,retired,male
100108,Annette,Hurley,Annette Hurley,SA,senate,Australian Labor Party,2005-07-01,general_election,2011-06-30,retired,female
100109,Steve,Hutchins,Steve Hutchins,NSW,senate,Australian Labor Party,1998-10-14,unknown,2011-06-30,unknown,male
100110,Jean,Jenkins,Jean Jenkins,WA,senate,Australian Democrats,1987-07-11,general_election,1990-06-30,unknown,male
100111,Donald,Jessop,Donald Jessop,SA,senate,Independent,1971-07-01,general_election,1987-06-05,unknown,male
100112,David,Johnston,David Johnston,WA,senate,Liberal Party,2002-07-01,general_election,2016-05-09,unknown,male
100113,Gerry,Jones,Gerry Jones,Queensland,senate,Australian Labor Party,1981-07-01,general_election,1996-06-30,retired,male
100114,Barnaby,Joyce,Barnaby Joyce,Queensland,senate,National Party,2005-07-01,general_election,2013-08-08,resigned,male
100115,James,Keeffe,James Keeffe,Queensland,senate,Australian Labor Party,1965-07-01,general_election,1983-02-04,retired,male
100116,Rod,Kemp,Rod Kemp,Victoria,senate,Liberal Party,1990-07-01,general_election,2008-06-30,retired,male
100117,Cheryl,Kernot,Cheryl Kernot,Queensland,senate,Australian Democrats,1990-07-01,general_election,1997-10-15,resigned,female
100118,Bernard,Kilgariff,Bernard Kilgariff,NT,senate,Liberal Party,1975-12-13,general_election,1987-06-05,retired,male
100119,Linda,Kirk,Linda Kirk,SA,senate,Australian Labor Party,2002-07-01,general_election,2008-06-30,retired,female
100120,John,Knight,John Knight,ACT,senate,Liberal Party,1975-12-13,general_election,1981-03-04,died,male
100121,Susan,Knowles,Susan Knowles,WA,senate,Liberal Party,1984-12-01,general_election,2005-06-30,retired,female
100122,Milivoj,Lajovic,Milivoj Lajovic,NSW,senate,Liberal Party,1975-12-13,general_election,1985-06-30,retired,male
100123,Condor,Laucke,Condor Laucke,SA,senate,Liberal Party,1967-11-02,unknown,1976-02-17,changed_party,male
100266,Condor,Laucke,Condor Laucke,SA,senate,PRES,1976-02-17,changed_party,1981-06-30,retired,male
100124,Meg,Lees,Meg Lees,SA,senate,Independent,1990-04-04,unknown,2005-06-30,unknown,female
100125,Austin,Lewis,Austin Lewis,Victoria,senate,Liberal Party,1976-12-17,unknown,1993-06-30,retired,male
100126,Ross,Lightfoot,Ross Lightfoot,WA,senate,Liberal Party,1997-05-19,unknown,2008-06-30,retired,male
100127,Stephen,Loosley,Stephen Loosley,NSW,senate,Australian Labor Party,1990-07-01,general_election,1995-05-19,resigned,male
100128,Joe,Ludwig,Joe Ludwig,Queensland,senate,Australian Labor Party,1999-07-01,general_election,2016-05-09,retired,male
100129,Kate,Lundy,Kate Lundy,ACT,senate,Australian Labor Party,1996-03-02,general_election,2015-03-24,resigned,female
100130,Ian,Macdonald,Ian Macdonald,Queensland,senate,Liberal Party,1990-07-01,general_election,9999-12-31,still_in_office,male
100131,Sandy,Macdonald,Sandy Macdonald,NSW,senate,National Party,1993-07-01,general_election,1999-06-30,unknown,male
100132,Sandy,Macdonald,Sandy Macdonald,NSW,senate,National Party,2000-05-04,unknown,2008-06-30,retired,male
100133,David,Macgibbon,David Macgibbon,Queensland,senate,Liberal Party,1978-07-01,general_election,1999-06-30,unknown,male
100134,Sue,Mackay,Sue Mackay,Tasmania,senate,Australian Labor Party,1996-03-08,unknown,2005-07-29,resigned,female
100135,Michael,Macklin,Michael Macklin,Queensland,senate,Australian Democrats,1981-07-01,general_election,1990-06-30,retired,male
100136,Graham,Maguire,Graham Maguire,SA,senate,Australian Labor Party,1983-03-05,general_election,1993-06-30,unknown,male
100137,Diane,Margetts,Diane Margetts,WA,senate,Australian Greens,1993-07-01,general_election,1999-06-30,unknown,female
100138,Gavin,Marshall,Gavin Marshall,Victoria,senate,Australian Labor Party,2002-07-01,general_election,2014-07-06,changed_party,male
100839,Gavin,Marshall,Gavin Marshall,Victoria,senate,DPRES,2014-07-07,changed_party,2016-05-09,changed_party,male
100871,Gavin,Marshall,Gavin Marshall,Victoria,senate,Australian Labor Party,2016-05-09,changed_party,9999-12-31,still_in_office,male
100139,John,Martyr,John Martyr,WA,senate,Liberal Party,1981-03-11,unknown,1983-02-04,unknown,male
100140,Brett,Mason,Brett Mason,Queensland,senate,Liberal Party,1999-07-01,general_election,2015-04-15,resigned,male
100141,Colin,Mason,Colin Mason,NSW,senate,Australian Democrats,1978-07-01,general_election,1987-06-05,retired,male
100142,Charles,Maunsell,Charles Maunsell,Queensland,senate,National Country Party,1968-07-01,general_election,1981-06-30,unknown,male
100143,Ronald,McAuliffe,Ronald McAuliffe,Queensland,senate,Australian Labor Party,1971-07-01,general_election,1981-06-30,retired,male
100144,Douglas,McClelland,Douglas McClelland,NSW,senate,Australian Labor Party,1962-07-01,general_election,1983-04-21,changed_party,male
100268,Douglas,McClelland,Douglas McClelland,NSW,senate,PRES,1983-04-21,changed_party,1987-01-23,resigned,male
100145,Anne,McEwen,Anne McEwen,SA,senate,Australian Labor Party,2005-07-01,general_election,2016-05-09,unknown,female
100146,Julian,McGauran,Julian McGauran,Victoria,senate,National Party,1987-07-11,general_election,1990-06-30,unknown,male
100147,Julian,McGauran,Julian McGauran,Victoria,senate,National Party,1993-07-01,general_election,2011-06-30,unknown,male
100148,Gordon,McIntosh,Gordon McIntosh,WA,senate,Australian Labor Party,1974-05-18,general_election,1987-06-05,retired,male
100149,Jim,McKiernan,Jim McKiernan,WA,senate,Australian Labor Party,1984-12-01,general_election,2002-06-30,retired,male
100150,Geoffrey,McLaren,Geoffrey McLaren,SA,senate,Australian Labor Party,1971-07-01,general_election,1983-02-04,retired,male
100151,Paul,McLean,Paul McLean,NSW,senate,Australian Democrats,1987-07-11,general_election,1991-08-23,resigned,male
100152,Jan,McLucas,Jan McLucas,Queensland,senate,Australian Labor Party,1999-07-01,general_election,2016-05-09,retired,male
100153,Bob,McMullan,Bob McMullan,ACT,senate,Australian Labor Party,1988-02-16,unknown,1996-02-06,resigned,male
100154,Jean,Melzer,Jean Melzer,Victoria,senate,Australian Labor Party,1974-05-18,general_election,1981-06-30,unknown,male
100155,Anthony,Messner,Anthony Messner,SA,senate,Liberal Party,1975-12-13,general_election,1990-04-17,resigned,male
100156,Christine,Milne,Christine Milne,Tasmania,senate,Australian Greens,2005-07-01,general_election,2015-08-10,resigned,female
100157,Nick,Minchin,Nick Minchin,SA,senate,Liberal Party,1993-07-01,general_election,2011-06-30,retired,male
100158,Alan,Missen,Alan Missen,Victoria,senate,Liberal Party,1974-05-18,general_election,1986-03-30,died,male
100159,Claire,Moore,Claire Moore,Queensland,senate,Australian Labor Party,2002-07-01,general_election,9999-12-31,still_in_office,female
100160,John,Morris,John Morris,NSW,senate,Australian Labor Party,1985-07-01,general_election,1990-06-30,retired,male
100161,James,Mulvihill,James Mulvihill,NSW,senate,Australian Labor Party,1965-07-01,general_election,1983-02-04,retired,male
100162,Shayne,Murphy,Shayne Murphy,Tasmania,senate,Independent,1993-07-01,general_election,2005-06-30,unknown,male
100163,Andrew,Murray,Andrew Murray,WA,senate,Australian Democrats,1996-07-01,general_election,2008-06-30,retired,male
100164,Fiona,Nash,Fiona Nash,NSW,senate,National Party,2005-07-01,general_election,2017-10-27,disqualified,female
100165,Belinda,Neal,Belinda Neal,NSW,senate,Australian Labor Party,1994-03-08,unknown,1998-09-03,resigned,female
100166,Laurence,Neal,Laurence Neal,Victoria,senate,National Country Party,1980-03-11,unknown,1981-06-30,unknown,female
100167,Kerry,Nettle,Kerry Nettle,NSW,senate,Australian Greens,2002-07-01,general_election,2008-06-30,unknown,female
100168,Jocelyn,Newman,Jocelyn Newman,Tasmania,senate,Liberal Party,1986-03-13,unknown,2002-02-01,resigned,female
100169,Kerry,O'Brien,Kerry O'Brien,Tasmania,senate,Australian Labor Party,1996-09-05,unknown,2011-06-30,retired,male
100170,Justin,O'Byrne,Justin O'Byrne,Tasmania,senate,Australian Labor Party,1947-07-01,general_election,1981-06-30,retired,male
100171,William,O'Chee,William O'Chee,Queensland,senate,National Party,1990-05-08,unknown,1999-06-30,unknown,male
100172,John,Olsen,John Olsen,SA,senate,Liberal Party,1990-05-07,unknown,1992-05-04,resigned,male
100173,John,Panizza,John Panizza,WA,senate,Liberal Party,1987-07-11,general_election,1997-01-31,died,male
100174,Warwick,Parer,Warwick Parer,Queensland,senate,Liberal Party,1984-11-22,unknown,2000-02-11,resigned,male
100175,Stephen,Parry,Stephen Parry,Tasmania,senate,Liberal Party,2005-07-01,general_election,2011-07-03,changed_party,male
100838,Stephen,Parry,Stephen Parry,Tasmania,senate,PRES,2014-07-07,changed_party,2017-11-12,resigned,male
100840,Stephen,Parry,Stephen Parry,Tasmania,senate,DPRES,2011-07-04,changed_party,2014-07-06,changed_party,male
100176,Kay,Patterson,Kay Patterson,Victoria,senate,Liberal Party,1987-07-11,general_election,2008-06-30,retired,male
100177,Marise,Payne,Marise Payne,NSW,senate,Liberal Party,1997-04-09,unknown,9999-12-31,still_in_office,female
100178,Helen,Polley,Helen Polley,Tasmania,senate,Australian Labor Party,2005-07-01,general_election,9999-12-31,still_in_office,female
100179,Janet,Powell,Janet Powell,Victoria,senate,Independent,1986-08-26,unknown,1993-06-30,unknown,female
100180,Cyril,Primmer,Cyril Primmer,Victoria,senate,Australian Labor Party,1971-07-01,general_election,1985-06-30,retired,male
100181,Christopher,Puplick,Christopher Puplick,NSW,senate,Liberal Party,1978-07-26,general_election,1981-06-30,unknown,male
100182,Christopher,Puplick,Christopher Puplick,NSW,senate,Liberal Party,1984-12-01,general_election,1990-06-30,unknown,male
100183,John,Quirke,John Quirke,SA,senate,Australian Labor Party,1997-09-18,unknown,2000-08-15,resigned,male
100184,Peter,Rae,Peter Rae,Tasmania,senate,Liberal Party,1968-07-01,general_election,1986-01-16,resigned,male
100185,Robert,Ray,Robert Ray,Victoria,senate,Australian Labor Party,1981-07-01,general_election,2008-05-05,retired,male
100186,Margaret,Reid,Margaret Reid,ACT,senate,Liberal Party,1981-05-05,unknown,1996-08-20,changed_party,female
100273,Margaret,Reid,Margaret Reid,ACT,senate,PRES,1996-08-20,changed_party,2002-08-18,changed_party,female
100274,Margaret,Reid,Margaret Reid,ACT,senate,Liberal Party,2002-08-18,changed_party,2003-02-14,resigned,female
100187,Margaret,Reynolds,Margaret Reynolds,Queensland,senate,Australian Labor Party,1983-03-05,general_election,1999-06-30,retired,female
100188,Graham,Richardson,Graham Richardson,NSW,senate,Australian Labor Party,1983-03-05,general_election,1994-03-25,resigned,male
100189,Aden,Ridgeway,Aden Ridgeway,NSW,senate,Australian Democrats,1999-07-01,general_election,2005-06-30,unknown,male
100190,Edward,Robertson,Edward Robertson,NT,senate,Australian Labor Party,1975-12-13,general_election,1987-06-05,retired,male
100191,Allan,Rocher,Allan Rocher,WA,senate,Liberal Party,1978-07-01,general_election,1981-02-10,resigned,male
100192,Michael,Ronaldson,Michael Ronaldson,Victoria,senate,Liberal Party,2005-07-01,general_election,2016-02-28,resigned,male
100193,Susan,Ryan,Susan Ryan,ACT,senate,Australian Labor Party,1975-12-13,general_election,1988-01-29,resigned,female
100194,Norman,Sanders,Norman Sanders,Tasmania,senate,Australian Democrats,1985-07-01,general_election,1990-03-01,resigned,male
100195,Santo,Santoro,Santo Santoro,Queensland,senate,Liberal Party,2002-10-29,unknown,2007-04-11,resigned,male
100196,Chris,Schacht,Chris Schacht,SA,senate,Australian Labor Party,1987-07-11,general_election,2002-06-30,unknown,male
100197,Douglas,Scott,Douglas Scott,NSW,senate,National Party,1970-08-06,unknown,1970-11-20,unknown,male
100198,Douglas,Scott,Douglas Scott,NSW,senate,National Party,1974-05-18,general_election,1985-06-30,retired,male
100199,Nigel,Scullion,Nigel Scullion,NT,senate,Country Liberal Party,2001-11-10,general_election,9999-12-31,still_in_office,male
100200,Glenister,Sheil,Glenister Sheil,Queensland,senate,National Country Party,1984-12-01,general_election,1990-06-30,unknown,male
100201,Glenister,Sheil,Glenister Sheil,Queensland,senate,National Country Party,1974-05-18,general_election,1981-02-06,unknown,male
100202,Nick,Sherry,Nick Sherry,Tasmania,senate,Australian Labor Party,1990-07-01,general_election,2012-06-01,resigned,male
100203,Jim,Short,Jim Short,Victoria,senate,Liberal Party,1984-12-01,general_election,1997-05-12,resigned,male
100205,Kerry,Sibraa,Kerry Sibraa,NSW,senate,Australian Labor Party,1975-12-13,general_election,1978-06-30,unknown,male
100204,Kerry,Sibraa,Kerry Sibraa,NSW,senate,Australian Labor Party,1978-08-09,unknown,1987-02-17,changed_party,male
100269,Kerry,Sibraa,Kerry Sibraa,NSW,senate,PRES,1987-02-17,changed_party,1987-06-05,changed_party,male
100270,Kerry,Sibraa,Kerry Sibraa,NSW,senate,Australian Labor Party,1987-06-05,changed_party,1987-09-14,changed_party,male
100271,Kerry,Sibraa,Kerry Sibraa,NSW,senate,PRES,1987-09-14,changed_party,1994-02-01,resigned,male
100206,John,Siddons,John Siddons,Victoria,senate,Unite Australia Party,1981-07-01,general_election,1983-02-04,unknown,male
100207,John,Siddons,John Siddons,Victoria,senate,Unite Australia Party,1985-07-01,general_election,1987-06-05,unknown,male
100208,Rachel,Siewert,Rachel Siewert,WA,senate,Australian Greens,2005-07-01,general_election,9999-12-31,still_in_office,female
100209,John,Sim,John Sim,WA,senate,Liberal Party,1964-11-26,unknown,1981-06-30,retired,male
100210,Karin,Sowada,Karin Sowada,NSW,senate,Australian Democrats,1991-08-29,unknown,1993-06-30,unknown,female
100211,Sid,Spindler,Sid Spindler,Victoria,senate,Australian Democrats,1990-07-01,general_election,1996-06-30,retired,male
